,Date,Explained_Variance_Ratio
2010-11-29,2010-11-29,0.012276021400407492
2010-11-30,2010-11-30,0.012325659268305231
2010-12-01,2010-12-01,0.012272525971615695
2010-12-02,2010-12-02,0.012227964837390765
2010-12-03,2010-12-03,0.01216767210268629
2010-12-06,2010-12-06,0.011972474079504473
2010-12-07,2010-12-07,0.011919921890201433
2010-12-08,2010-12-08,0.011971865459033566
2010-12-09,2010-12-09,0.012091607546639188
2010-12-10,2010-12-10,0.012050860454871656
2010-12-13,2010-12-13,0.01211604894349576
2010-12-14,2010-12-14,0.012157942580631367
2010-12-15,2010-12-15,0.012260561874977897
2010-12-16,2010-12-16,0.012316921164051335
2010-12-17,2010-12-17,0.012312391271360787
2010-12-20,2010-12-20,0.012314950170333799
2010-12-21,2010-12-21,0.012327602823133143
2010-12-22,2010-12-22,0.012360489909714945
2010-12-23,2010-12-23,0.012323218235145265
2010-12-27,2010-12-27,0.01234255472517279
2010-12-28,2010-12-28,0.012347577255323329
2010-12-29,2010-12-29,0.012346560869466727
2010-12-30,2010-12-30,0.012356184015603176
2010-12-31,2010-12-31,0.01235712896799992
2011-01-03,2011-01-03,0.012366431785187525
2011-01-04,2011-01-04,0.012298257836460071
2011-01-05,2011-01-05,0.012355881106870435
2011-01-06,2011-01-06,0.012316774922932445
2011-01-07,2011-01-07,0.01218097624291919
2011-01-10,2011-01-10,0.012113784092734853
2011-01-11,2011-01-11,0.012124011024039686
2011-01-12,2011-01-12,0.011983707422038423
2011-01-13,2011-01-13,0.01197151820785573
2011-01-14,2011-01-14,0.01195757563872938
2011-01-18,2011-01-18,0.011960063121307261
2011-01-19,2011-01-19,0.011956591454272676
2011-01-20,2011-01-20,0.011946507301730257
2011-01-21,2011-01-21,0.012102949291096067
2011-01-24,2011-01-24,0.012012157491381749
2011-01-25,2011-01-25,0.012027195179246941
2011-01-26,2011-01-26,0.012169061294741918
2011-01-27,2011-01-27,0.012178790857912927
2011-01-28,2011-01-28,0.01220188447724382
