,Date,Explained_Variance_Ratio
2010-11-29,2010-11-29,0.017385003490646016
2010-11-30,2010-11-30,0.01748014142481908
2010-12-01,2010-12-01,0.01649247088976825
2010-12-02,2010-12-02,0.016411908680181008
2010-12-03,2010-12-03,0.016405630192089394
2010-12-06,2010-12-06,0.016448078501192048
2010-12-07,2010-12-07,0.016444351557308147
2010-12-08,2010-12-08,0.016240427678601132
2010-12-09,2010-12-09,0.016171261562781637
2010-12-10,2010-12-10,0.016147824380573952
2010-12-13,2010-12-13,0.016092028525169562
2010-12-14,2010-12-14,0.01601606133130998
2010-12-15,2010-12-15,0.01617362433642034
2010-12-16,2010-12-16,0.01604768588887981
2010-12-17,2010-12-17,0.016162040598197123
2010-12-20,2010-12-20,0.016183600306697393
2010-12-21,2010-12-21,0.0163016889167859
2010-12-22,2010-12-22,0.016340278022632968
2010-12-23,2010-12-23,0.0164487836298001
2010-12-27,2010-12-27,0.016445392069842562
2010-12-28,2010-12-28,0.01648876989392315
2010-12-29,2010-12-29,0.016515948370755228
2010-12-30,2010-12-30,0.01649699348951222
2010-12-31,2010-12-31,0.016497254370570303
2011-01-03,2011-01-03,0.01660016056580369
2011-01-04,2011-01-04,0.016537800871473936
2011-01-05,2011-01-05,0.016494883729316647
2011-01-06,2011-01-06,0.016486152642998984
2011-01-07,2011-01-07,0.016405260296362207
2011-01-10,2011-01-10,0.01635298182452645
2011-01-11,2011-01-11,0.016415100163135618
2011-01-12,2011-01-12,0.016452954944759218
2011-01-13,2011-01-13,0.016484192151790165
2011-01-14,2011-01-14,0.016519411192054273
2011-01-18,2011-01-18,0.01653024834668097
2011-01-19,2011-01-19,0.01664361871420331
2011-01-20,2011-01-20,0.016497613015745042
2011-01-21,2011-01-21,0.01670347963468907
2011-01-24,2011-01-24,0.016967952513343883
2011-01-25,2011-01-25,0.017023905287219507
2011-01-26,2011-01-26,0.01697036359673186
2011-01-27,2011-01-27,0.016945239216507882
2011-01-28,2011-01-28,0.016901649707219496
2011-01-31,2011-01-31,0.016887959598463446
2011-02-01,2011-02-01,0.016925087814529106
2011-02-02,2011-02-02,0.01694215273648992
2011-02-03,2011-02-03,0.016888458475760506
2011-02-04,2011-02-04,0.01713987016603206
2011-02-07,2011-02-07,0.017394405456801237
2011-02-08,2011-02-08,0.017316754811872087
2011-02-09,2011-02-09,0.017213233901350915
2011-02-10,2011-02-10,0.017186290983305853
2011-02-11,2011-02-11,0.0171507619238799
2011-02-14,2011-02-14,0.017128475297719964
2011-02-15,2011-02-15,0.017053984605400405
2011-02-16,2011-02-16,0.016977305007349307
2011-02-17,2011-02-17,0.017031193662072938
2011-02-18,2011-02-18,0.017027399219475152
2011-02-22,2011-02-22,0.017014705313185916
2011-02-23,2011-02-23,0.017178846312255025
2011-02-24,2011-02-24,0.017385415467591897
2011-02-25,2011-02-25,0.017479936927607295
2011-02-28,2011-02-28,0.0174564057918252
2011-03-01,2011-03-01,0.017299087287421477
2011-03-02,2011-03-02,0.01721375039197667
2011-03-03,2011-03-03,0.017366304702160502
2011-03-04,2011-03-04,0.01742553180246376
2011-03-07,2011-03-07,0.017460443883962014
2011-03-08,2011-03-08,0.017484267704103513
2011-03-09,2011-03-09,0.017439872222276283
2011-03-10,2011-03-10,0.017438897363136394
2011-03-11,2011-03-11,0.017444009595891118
2011-03-14,2011-03-14,0.017424108229848457
2011-03-15,2011-03-15,0.017442391014828182
2011-03-16,2011-03-16,0.017449431016263464
2011-03-17,2011-03-17,0.017407860682236653
