Symbol,MarketCap
SHW,95449759744
SJM,11376929792
SLB,60976640000
SMCI,10879797248
SNA,18748293120
SNPS,79994486784
SO,96343146496
SPG,67686518784
SPGI,156170895360
SRE,58393051136
STE,21727449088
STLD,21224474624
STT,27990059008
STX,20473989120
STZ,43128729600
SWK,13173313536
SWKS,13366632448
SYK,148704739328
SYY,36817387520
T,162735570944
TAP,12853151744
TDG,70521921536
TDY,21910071296
TECH,10736332800
TEL,44380680192
TER,16706280448
TFC,61796052992
TFX,8924156928
TGT,70082494464
TJX,135310557184
TMO,196253106176
TMUS,273423040512
TPR,13336649728
TRMB,17245970432
TROW,26385823744
TRV,59211100160
TSCO,29451239424
TSLA,1029530451968
TSN,22889172992
TT,91695030272
TTWO,31194867712
TXN,183465082880
TXT,15751824384
TYL,25555042304
UAL,29983625216
UDR,16645494784
UHS,13304601600
ULTA,17204875264
UNH,545019789312
UNP,142815969280
UPS,114411323392
URI,54860324864
USB,77845495808
V,599206068224
VLO,44372553728
VMC,36881997824
VRSK,39652048896
VRSN,17382567936
VRTX,119931256832
VTR,26680899584
VTRS,15313760256
VZ,175331098624
WAB,33547771904
WAT,21283991552
WBA,7331952128
WBD,22618226688
WDC,21710462976
WEC,30996365312
WELL,84698292224
WFC,247514267648
WM,87457652736
WMB,68935016448
WMT,677222547456
WRB,23146131456
WST,22776119296
WTW,31491670016
WY,22473181184
WYNN,9964612608
XEL,39886848000
XOM,524378177536
YUM,37281226752
ZBH,22403788800
ZBRA,19905236992
